"DATE","START","VISITOR","V_PTS","HOME","H_PTS","OT","ATTENDANCE","V_DEFRTG","H_DEFRTG"
"Tue, Oct 27, 2015","8:00p","DET","106","ATL","94","nan","19,187","106.19","102"
"Tue, Oct 27, 2015","8:00p","CLE","95","CHI","97","nan","21,957","105.32","107.2"
"Tue, Oct 27, 2015","10:30p","NOP","95","GSW","111","nan","19,596","110.17","104.32"
"Wed, Oct 28, 2015","7:30p","PHI","95","BOS","112","nan","18,624","110.15","104.1"
"Wed, Oct 28, 2015","7:30p","CHI","115","BKN","100","nan","17,732","107.2","111.6"
"Wed, Oct 28, 2015","7:30p","UTA","87","DET","92","nan","18,434","104.78","106.19"
"Wed, Oct 28, 2015","8:00p","DEN","105","HOU","85","nan","18,240","109.47","109.1"
"Wed, Oct 28, 2015","10:30p","MIN","112","LAL","111","nan","18,997","111.02","112.4"
"Wed, Oct 28, 2015","8:00p","CLE","106","MEM","76","nan","18,119","105.32","108.69"
"Wed, Oct 28, 2015","7:30p","CHA","94","MIA","104","nan","19,724","105.01","105.34"
"Wed, Oct 28, 2015","8:00p","NYK","122","MIL","97","nan","18,717","108.43","109.65"
"Wed, Oct 28, 2015","8:00p","SAS","106","OKC","112","nan","18,203","99.55","106.22"
"Wed, Oct 28, 2015","7:00p","WAS","88","ORL","87","nan","18,846","106.48","107.47"
"Wed, Oct 28, 2015","10:00p","DAL","111","PHX","95","nan","18,055","107.48","109.8"
"Wed, Oct 28, 2015","10:00p","NOP","94","POR","112","nan","19,393","110.17","108.67"
"Wed, Oct 28, 2015","10:00p","LAC","111","SAC","104","nan","17,458","104.57","109.07"
"Wed, Oct 28, 2015","7:30p","IND","99","TOR","106","nan","19,800","103.51","106.16"
"Thu, Oct 29, 2015","7:00p","MEM","112","IND","103","nan","18,165","108.69","103.51"
"Thu, Oct 29, 2015","10:30p","DAL","88","LAC","104","nan","19,218","107.48","104.57"
"Thu, Oct 29, 2015","8:00p","ATL","112","NYK","101","nan","19,812","102","108.43"
"Fri, Oct 30, 2015","8:00p","CHA","94","ATL","97","nan","17,024","105.01","102"
"Fri, Oct 30, 2015","7:30p","TOR","113","BOS","103","nan","16,898","106.16","104.1"
"Fri, Oct 30, 2015","7:00p","MIA","92","CLE","102","nan","20,562","105.34","105.32"
"Fri, Oct 30, 2015","9:00p","MIN","95","DEN","78","nan","17,660","111.02","109.47"
"Fri, Oct 30, 2015","7:30p","CHI","94","DET","98","OT","16,035","107.2","106.19"
"Fri, Oct 30, 2015","9:30p","GSW","112","HOU","92","nan","18,142","104.32","109.1"
"Fri, Oct 30, 2015","8:00p","WAS","118","MIL","113","nan","13,858","106.48","109.65"
"Fri, Oct 30, 2015","7:00p","OKC","139","ORL","136","2OT","18,846","106.22","107.47"
"Fri, Oct 30, 2015","7:00p","UTA","99","PHI","71","nan","17,122","104.78","110.15"
"Fri, Oct 30, 2015","10:30p","POR","92","PHX","110","nan","18,055","108.67","109.8"
"Fri, Oct 30, 2015","10:00p","LAL","114","SAC","132","nan","17,391","112.4","109.07"
"Fri, Oct 30, 2015","8:30p","BKN","75","SAS","102","nan","18,418","111.6","99.55"
"Sat, Oct 31, 2015","7:00p","UTA","97","IND","76","nan","14,412","104.78","103.51"
"Sat, Oct 31, 2015","10:30p","SAC","109","LAC","114","nan","19,060","109.07","104.57"
"Sat, Oct 31, 2015","8:00p","BKN","91","MEM","101","nan","16,013","111.6","108.69"
"Sat, Oct 31, 2015","7:30p","GSW","134","NOP","120","nan","18,406","104.32","110.17"
"Sat, Oct 31, 2015","10:00p","PHX","101","POR","90","nan","17,906","109.8","108.67"
"Sat, Oct 31, 2015","7:00p","NYK","117","WAS","110","nan","20,356","108.43","106.48"
"Sun, Nov 1, 2015","3:30p","SAS","95","BOS","87","nan","17,461","99.55","104.1"
"Sun, Nov 1, 2015","7:00p","ORL","87","CHI","92","nan","21,585","107.47","107.2"
"Sun, Nov 1, 2015","2:00p","ATL","94","CHA","92","nan","18,691","102","105.01"
"Sun, Nov 1, 2015","9:30p","DAL","103","LAL","93","nan","18,997","107.48","112.4"
"Sun, Nov 1, 2015","6:00p","HOU","89","MIA","109","nan","19,600","109.1","105.34"
"Sun, Nov 1, 2015","7:00p","DEN","93","OKC","117","nan","18,203","109.47","106.22"
